City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
65,65,Nikolayevsk-Na-Amure,RU,53.14,140.73,37.9,84,22,3.65,few clouds,0.0,0.0
66,66,Srednekolymsk,RU,67.45,153.68,48.74,47,0,20.13,clear sky,0.0,0.0
67,67,Trofors,NO,65.53,13.41,44.6,87,75,6.93,light rain,0.0,0.0
68,68,Hamilton,US,39.18,-84.53,82.99,61,40,12.75,scattered clouds,0.0,0.0
69,69,Tenenkou,ML,14.46,-4.92,90.41,28,50,5.03,scattered clouds,0.0,0.0
70,70,Mezen,RU,65.85,44.24,51.87,89,100,6.8,light rain,0.0,0.0
71,71,Vaini,TO,-21.2,-175.2,71.6,94,75,4.7,broken clouds,0.0,0.0
72,72,Alekseyevka,RU,50.63,38.69,62.87,86,9,10.92,clear sky,0.0,0.0
73,73,Nikolskoye,RU,59.7,30.79,54.0,71,92,6.71,overcast clouds,0.0,0.0
74,74,Kaitangata,NZ,-46.28,169.85,45.0,85,84,4.07,broken clouds,0.0,0.0
75,75,Souillac,MU,-20.52,57.52,75.2,83,40,12.75,scattered clouds,0.0,0.0
76,76,Acapulco,MX,16.86,-99.89,82.4,69,5,11.41,clear sky,0.0,0.0
77,77,Chapais,CA,49.78,-74.85,84.2,39,75,13.87,broken clouds,0.0,0.0
78,78,Stettler,CA,52.32,-112.72,62.01,38,0,5.99,clear sky,0.0,0.0
79,79,Cherskiy,RU,68.75,161.3,45.48,56,7,17.94,clear sky,0.0,0.0
80,80,East London,ZA,-33.02,27.91,68.0,56,99,12.39,overcast clouds,0.0,0.0
81,81,Umba,RU,66.69,34.34,45.3,73,2,7.74,clear sky,0.0,0.0
82,82,Kokopo,PG,-4.35,152.26,76.44,86,0,4.56,clear sky,0.0,0.0
83,83,Harare,ZW,-17.83,31.05,58.44,73,0,6.46,clear sky,0.0,0.0
84,84,Surt,LY,31.21,16.59,66.54,68,0,12.39,clear sky,0.0,0.0
85,85,Ngozi,BI,-2.91,29.83,58.51,97,91,2.06,overcast clouds,0.0,0.0
86,86,Lagoa,PT,39.05,-27.98,59.61,61,0,8.5,clear sky,0.0,0.0
87,87,Karratha,AU,-20.74,116.85,67.19,52,6,9.01,clear sky,0.0,0.0
88,88,Namatanai,PG,-3.67,152.43,78.87,82,1,3.65,light rain,0.0,0.0
89,89,Saint-Francois,FR,46.42,3.91,73.4,40,3,6.93,clear sky,0.0,0.0
90,90,Mitu,CO,1.2,-70.17,87.42,60,15,2.28,light rain,0.0,0.0
91,91,Praia Da Vitoria,PT,38.73,-27.07,64.4,59,40,8.23,scattered clouds,0.0,0.0
92,92,Nanortalik,GL,60.14,-45.24,37.04,83,100,14.92,overcast clouds,0.0,0.0
93,93,Inhambane,MZ,-23.86,35.38,62.6,77,0,4.7,clear sky,0.0,0.0
94,94,Puteyets,RU,65.17,57.09,46.74,80,0,6.6,clear sky,0.0,0.0
95,95,Ankang,CN,32.68,109.02,64.72,69,100,1.5,overcast clouds,0.0,0.0
96,96,La Rioja,ES,42.25,-2.5,82.4,20,0,4.7,clear sky,0.0,0.0
97,97,Castro,BR,-24.79,-50.01,65.82,52,0,2.59,clear sky,0.0,0.0
98,98,Yanam,IN,16.73,82.22,83.32,91,51,3.44,broken clouds,0.0,0.0
99,99,Mount Isa,AU,-20.73,139.5,57.2,41,16,6.93,few clouds,0.0,0.0
100,100,Mar Del Plata,AR,-38.0,-57.56,59.0,71,40,10.29,scattered clouds,0.0,0.0
101,101,Martinsville,US,36.69,-79.87,81.0,69,40,5.82,scattered clouds,0.0,0.0
102,102,Arrecife,ES,28.96,-13.55,73.4,69,20,17.22,few clouds,0.0,0.0
103,103,Tupik,RU,54.43,119.93,38.73,87,100,1.74,overcast clouds,0.0,0.0
104,104,Oktyabrskoye,RU,43.06,44.74,64.4,82,0,6.71,clear sky,0.0,0.0
105,105,Raudeberg,NO,61.99,5.14,52.0,64,0,4.85,clear sky,0.0,0.0
106,106,Aksarka,RU,66.56,67.8,49.03,89,100,19.33,moderate rain,0.0,0.0
107,107,Chuy,UY,-33.7,-53.46,65.88,65,0,3.51,clear sky,0.0,0.0
108,108,Pangnirtung,CA,66.15,-65.71,28.4,74,90,12.75,overcast clouds,0.0,0.0
109,109,Bilma,NE,18.69,12.92,92.57,12,100,6.24,overcast clouds,0.0,0.0
110,110,Keffi,NG,8.85,7.87,83.12,65,19,2.06,light rain,0.0,0.0
