City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
377,Yulara,AU,-25.24,130.99,55.4,47,0,8.05,clear sky,0.0,0.0
378,Thayetmyo,MM,19.32,95.18,82.4,70,65,3.74,broken clouds,0.0,0.0
379,Hondo,JP,32.45,130.2,66.33,78,32,3.44,scattered clouds,0.0,0.0
380,Pervomayskiy,RU,53.25,40.29,58.3,88,99,9.71,overcast clouds,0.0,0.0
381,Capao Da Canoa,BR,-29.75,-50.01,65.39,63,0,6.69,clear sky,0.0,0.0
382,Mvuma,ZW,-19.28,30.53,54.37,62,0,6.51,clear sky,0.0,0.0
383,Baykit,RU,61.67,96.37,40.62,69,73,2.1,broken clouds,0.0,0.0
384,Nouadhibou,MR,20.93,-17.03,77.0,57,0,23.04,sand,0.0,0.0
385,Neiafu,TO,-18.65,-173.98,73.4,94,75,8.97,broken clouds,0.0,0.0
386,Valparaiso,CL,-33.04,-71.63,62.6,67,90,3.36,overcast clouds,0.0,0.0
387,Khurba,RU,50.41,136.88,52.81,84,69,2.19,broken clouds,0.0,0.0
388,Diveyevo,RU,55.04,43.24,55.11,79,74,3.22,broken clouds,0.0,0.0
389,Prigorodka,RU,52.04,39.71,66.2,59,73,11.18,broken clouds,0.0,0.0
390,Nalut,LY,30.33,10.85,78.53,17,0,10.18,clear sky,0.0,0.0
391,Burgeo,CA,47.62,-57.62,52.03,91,96,11.63,overcast clouds,0.0,0.0
392,Praia Da Vitoria,PT,38.73,-27.07,64.4,59,40,8.77,scattered clouds,0.0,0.0
393,Frontignan,FR,43.45,3.75,73.4,60,0,16.11,clear sky,0.0,0.0
394,Pangkalanbuun,ID,-2.68,111.62,74.1,92,95,1.52,overcast clouds,0.0,0.0
395,Moville,US,42.49,-96.07,77.0,53,20,19.46,few clouds,0.0,0.0
396,Waipawa,NZ,-41.41,175.52,48.2,87,33,11.41,scattered clouds,0.0,0.0
397,Colombo,LK,6.93,79.85,82.4,100,40,16.11,scattered clouds,0.0,0.0
398,Noumea,NC,-22.28,166.46,72.0,82,7,3.36,clear sky,0.0,0.0
399,Walvis Bay,NA,-22.96,14.51,62.6,51,0,5.82,clear sky,0.0,0.0
400,San Juan Tepa,MX,20.22,-99.07,80.13,22,2,9.42,clear sky,0.0,0.0
401,Richards Bay,ZA,-28.78,32.04,62.29,46,0,7.27,clear sky,0.0,0.0
402,Emerald,AU,-23.53,148.17,60.8,48,52,11.41,broken clouds,0.0,0.0
403,Samarai,PG,-10.62,150.67,80.31,84,14,10.42,light rain,0.0,0.0
404,Storsteinnes,NO,69.24,19.23,44.6,70,75,24.16,shower rain,0.0,0.0
405,Usak,TR,38.5,29.42,54.52,68,89,13.0,light rain,0.0,0.0
406,Riberalta,BO,-10.98,-66.1,86.0,48,86,6.93,overcast clouds,0.0,0.0
407,Humberto De Campos,BR,-2.6,-43.46,87.33,62,46,5.7,scattered clouds,0.0,0.0
408,Marrakesh,MA,31.63,-8.01,91.4,26,25,9.17,light rain,0.0,0.0
409,Vuktyl,RU,63.86,57.31,48.94,81,85,8.66,overcast clouds,0.0,0.0
410,Lavrentiya,RU,65.58,-171.0,32.81,94,100,5.41,overcast clouds,0.0,0.0
411,Itapetinga,BR,-15.25,-40.25,72.19,70,91,6.24,overcast clouds,0.0,0.0
412,Wajima,JP,37.4,136.9,59.86,78,0,5.86,clear sky,0.0,0.0
413,Tsabong,BW,-26.02,22.4,51.48,37,0,2.89,clear sky,0.0,0.0
414,Rafai,CF,4.95,23.92,74.88,89,100,2.24,light rain,0.0,0.0
415,Kattivakkam,IN,13.22,80.32,89.6,75,20,9.17,few clouds,0.0,0.0
416,Half Moon Bay,US,37.46,-122.43,73.0,77,40,5.82,scattered clouds,0.0,0.0
417,Bayburt,TR,40.26,40.23,59.27,50,88,4.38,overcast clouds,0.0,0.0
418,Epinal,FR,48.18,6.45,71.6,32,13,14.99,few clouds,0.0,0.0
419,Lamlash,GB,55.53,-5.13,66.2,55,85,4.7,overcast clouds,0.0,0.0
420,Oussouye,SN,12.48,-16.55,91.4,74,20,6.93,few clouds,0.0,0.0
421,Mayumba,GA,-3.43,10.66,76.28,88,64,6.89,broken clouds,0.0,0.0
422,Benghazi,LY,32.12,20.07,67.33,67,0,14.74,clear sky,0.0,0.0
423,Siderno,IT,38.28,16.3,69.8,46,20,12.75,few clouds,0.0,0.0
424,Morondava,MG,-20.28,44.28,74.79,82,16,12.97,few clouds,0.0,0.0
425,Griffith,US,41.53,-87.42,78.01,83,90,7.9,overcast clouds,0.0,0.0
