City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Camocim,BR,2020-05-27 12:17:45,-2.9,-40.84,80.87,79,22,8.9
70,Laguna,US,2020-05-27 12:17:46,38.42,-121.42,72.0,60,1,2.57
71,Carnarvon,AU,2020-05-27 12:17:46,-24.87,113.63,68.34,49,0,14.38
72,Nome,US,2020-05-27 12:17:46,64.5,-165.41,41.0,93,90,9.17
73,Chuy,UY,2020-05-27 12:17:46,-33.7,-53.46,48.29,86,4,4.74
74,Esperance,AU,2020-05-27 12:17:46,-33.87,121.9,57.2,58,63,10.29
75,Znamenskoye,RU,2020-05-27 12:17:46,57.13,73.83,63.36,45,4,7.2
76,Tunceli,TR,2020-05-27 12:13:04,39.11,39.55,82.4,32,20,8.05
77,Karratha,AU,2020-05-27 12:17:46,-20.74,116.85,70.97,40,0,9.8
78,Port Elizabeth,ZA,2020-05-27 12:17:47,-33.92,25.57,60.8,51,75,18.34
79,Jian,CN,2020-05-27 12:17:47,27.12,114.98,70.81,89,75,1.81
80,Provideniya,RU,2020-05-27 12:17:47,64.38,-173.3,34.61,93,100,13.49
81,Gayny,RU,2020-05-27 12:17:47,60.31,54.32,60.55,73,99,5.08
82,Samarai,PG,2020-05-27 12:17:47,-10.62,150.67,80.26,87,5,9.73
83,Monrovia,LR,2020-05-27 12:17:47,6.3,-10.8,84.2,83,75,8.05
84,Kapaa,US,2020-05-27 12:17:47,22.08,-159.32,75.2,83,20,13.87
85,Ribeira Grande,PT,2020-05-27 12:17:48,38.52,-28.7,66.2,68,40,9.17
86,Bandarbeyla,SO,2020-05-27 12:17:48,9.49,50.81,91.56,50,21,20.4
87,Lexington-Fayette,US,2020-05-27 12:17:48,38.05,-84.46,71.01,83,90,5.82
88,Arraial Do Cabo,BR,2020-05-27 12:17:48,-22.97,-42.03,68.0,72,0,11.41
89,Severodvinsk,RU,2020-05-27 12:17:48,64.56,39.83,64.4,42,40,8.95
90,Lerwick,GB,2020-05-27 12:17:48,60.15,-1.15,53.6,76,20,12.75
91,Requena,ES,2020-05-27 12:17:48,39.49,-1.1,77.0,33,0,11.01
92,Hobart,AU,2020-05-27 12:14:44,-42.88,147.33,55.4,71,75,9.17
93,Contramaestre,CU,2020-05-27 12:17:49,20.3,-76.24,77.0,100,75,4.7
94,Hithadhoo,MV,2020-05-27 12:17:49,-0.6,73.08,84.87,72,78,8.46
95,Cape Town,ZA,2020-05-27 12:17:49,-33.93,18.42,59.0,62,75,11.41
96,Longyearbyen,SJ,2020-05-27 12:17:49,78.22,15.64,44.6,70,75,13.87
97,Honiara,SB,2020-05-27 12:15:08,-9.43,159.95,78.8,94,40,3.36
98,Luderitz,NA,2020-05-27 12:17:49,-26.65,15.16,69.8,32,0,9.17
99,Cidreira,BR,2020-05-27 12:17:49,-30.18,-50.21,55.27,77,74,12.86
100,Mehamn,NO,2020-05-27 12:17:49,71.04,27.85,48.2,81,75,6.93
101,Mogadishu,SO,2020-05-27 12:17:50,2.04,45.34,86.0,66,40,17.22
102,Codrington,AU,2020-05-27 12:17:50,-38.27,141.97,50.13,95,58,7.76
103,Saint George,US,2020-05-27 12:15:52,37.1,-113.58,68.0,28,1,4.7
104,Hermanus,ZA,2020-05-27 12:17:50,-34.42,19.23,64.0,62,38,4.0
105,Chota,PE,2020-05-27 12:17:50,-6.55,-78.65,49.37,79,94,5.14
106,Salalah,OM,2020-05-27 12:14:16,17.02,54.09,89.6,66,75,11.41
107,Hilo,US,2020-05-27 12:17:50,19.73,-155.09,73.4,78,90,5.82
108,Los Alamos,US,2020-05-27 12:17:50,35.89,-106.31,59.0,26,1,5.82
109,Ahipara,NZ,2020-05-27 12:17:51,-35.17,173.17,58.39,90,93,8.05
110,Faanui,PF,2020-05-27 12:17:51,-16.48,-151.75,81.19,81,43,10.58
111,Yellowknife,CA,2020-05-27 12:17:51,62.46,-114.35,33.01,95,40,9.17
112,Beringovskiy,RU,2020-05-27 12:17:51,63.05,179.32,33.71,97,100,6.29
113,Pacific Grove,US,2020-05-27 12:17:51,36.62,-121.92,60.8,77,1,1.61
114,Fort-Shevchenko,KZ,2020-05-27 12:17:51,44.51,50.26,68.43,62,4,12.35
115,Acarau,BR,2020-05-27 12:17:51,-2.89,-40.12,80.83,80,33,8.84
116,Pangai,TO,2020-05-27 12:17:51,-19.8,-174.35,78.1,70,2,12.1
117,Zhangjiakou,CN,2020-05-27 12:17:51,40.81,114.88,67.19,26,0,3.47
118,Kennesaw,US,2020-05-27 12:17:52,34.02,-84.62,68.0,88,90,8.05
119,Laurel,US,2020-05-27 12:14:55,39.1,-76.85,66.99,93,90,5.82
120,Caravelas,BR,2020-05-27 12:17:52,-17.71,-39.25,77.45,72,9,6.6
121,Kaitong,CN,2020-05-27 12:17:52,44.81,123.15,69.98,25,0,4.09
122,Kodiak,US,2020-05-27 12:17:52,57.79,-152.41,42.8,81,90,4.7
123,Gat,IL,2020-05-27 12:17:52,31.61,34.76,82.0,69,0,15.28
124,Jizan,SA,2020-05-27 12:17:52,17.33,42.67,96.8,60,0,11.41
125,Bredasdorp,ZA,2020-05-27 12:17:52,-34.53,20.04,62.6,42,16,12.75
